event,week,queries,main_topic
Убийство Татьяны Страховой,01.01.2018,7,SC
Убийство Татьяны Страховой,08.01.2018,7,SC
Убийство Татьяны Страховой,15.01.2018,0,SC
Убийство Татьяны Страховой,22.01.2018,237301,SC
Убийство Татьяны Страховой,29.01.2018,67142,SC
Убийство Татьяны Страховой,05.02.2018,25627,SC
Убийство Татьяны Страховой,12.02.2018,13002,SC
Убийство Татьяны Страховой,19.02.2018,7895,SC
Убийство Татьяны Страховой,26.02.2018,6756,SC
Убийство Татьяны Страховой,05.03.2018,5051,SC
Убийство Татьяны Страховой,12.03.2018,6039,SC
Убийство Татьяны Страховой,19.03.2018,4147,SC
Убийство Татьяны Страховой,26.03.2018,3308,SC
Убийство Татьяны Страховой,02.04.2018,2672,SC
Убийство Татьяны Страховой,09.04.2018,2242,SC
Убийство Татьяны Страховой,16.04.2018,2537,SC
Убийство Татьяны Страховой,23.04.2018,2105,SC
Убийство Татьяны Страховой,30.04.2018,1957,SC
Убийство Татьяны Страховой,07.05.2018,1849,SC
Убийство Татьяны Страховой,14.05.2018,2297,SC
Убийство Татьяны Страховой,21.05.2018,1980,SC
Убийство Татьяны Страховой,28.05.2018,1560,SC
Убийство Татьяны Страховой,04.06.2018,1671,SC
Убийство Татьяны Страховой,11.06.2018,1420,SC
Убийство Татьяны Страховой,18.06.2018,1314,SC
Убийство Татьяны Страховой,25.06.2018,1259,SC
Смерть Людмилы Сенчиной,01.01.2018,7055,D
Смерть Людмилы Сенчиной,08.01.2018,15748,D
Смерть Людмилы Сенчиной,15.01.2018,5291,D
Смерть Людмилы Сенчиной,22.01.2018,1388335,D
Смерть Людмилы Сенчиной,29.01.2018,152695,D
Смерть Людмилы Сенчиной,05.02.2018,34332,D
Смерть Людмилы Сенчиной,12.02.2018,16678,D
Смерть Людмилы Сенчиной,19.02.2018,15628,D
Смерть Людмилы Сенчиной,26.02.2018,11852,D
Смерть Людмилы Сенчиной,05.03.2018,12134,D
Смерть Людмилы Сенчиной,12.03.2018,9971,D
Смерть Людмилы Сенчиной,19.03.2018,7903,D
Смерть Людмилы Сенчиной,26.03.2018,8624,D
Смерть Людмилы Сенчиной,02.04.2018,11876,D
Смерть Людмилы Сенчиной,09.04.2018,9754,D
Смерть Людмилы Сенчиной,16.04.2018,15017,D
Смерть Людмилы Сенчиной,23.04.2018,6625,D
Смерть Людмилы Сенчиной,30.04.2018,13250,D
Смерть Людмилы Сенчиной,07.05.2018,7063,D
Смерть Людмилы Сенчиной,14.05.2018,11347,D
Смерть Людмилы Сенчиной,21.05.2018,5363,D
Смерть Людмилы Сенчиной,28.05.2018,4851,D
Смерть Людмилы Сенчиной,04.06.2018,6460,D
Смерть Людмилы Сенчиной,11.06.2018,4905,D
Смерть Людмилы Сенчиной,18.06.2018,4979,D
Смерть Людмилы Сенчиной,25.06.2018,4905,D
Выход на свободу Сергея Семенова,01.01.2018,77520,SC
Выход на свободу Сергея Семенова,08.01.2018,466929,SC
Выход на свободу Сергея Семенова,15.01.2018,1516143,SC
Выход на свободу Сергея Семенова,22.01.2018,316989,SC
Выход на свободу Сергея Семенова,29.01.2018,195846,SC
Выход на свободу Сергея Семенова,05.02.2018,133229,SC
Выход на свободу Сергея Семенова,12.02.2018,82626,SC
Выход на свободу Сергея Семенова,19.02.2018,68399,SC
Выход на свободу Сергея Семенова,26.02.2018,69693,SC
Выход на свободу Сергея Семенова,05.03.2018,54772,SC
Выход на свободу Сергея Семенова,12.03.2018,45486,SC
Выход на свободу Сергея Семенова,19.03.2018,43518,SC
Выход на свободу Сергея Семенова,26.03.2018,42022,SC
Выход на свободу Сергея Семенова,02.04.2018,38023,SC
Выход на свободу Сергея Семенова,09.04.2018,48666,SC
Выход на свободу Сергея Семенова,16.04.2018,45918,SC
Выход на свободу Сергея Семенова,23.04.2018,69717,SC
Выход на свободу Сергея Семенова,30.04.2018,41503,SC
Выход на свободу Сергея Семенова,07.05.2018,34003,SC
Выход на свободу Сергея Семенова,14.05.2018,37755,SC
Выход на свободу Сергея Семенова,21.05.2018,43008,SC
Выход на свободу Сергея Семенова,28.05.2018,107670,SC
Выход на свободу Сергея Семенова,04.06.2018,105548,SC
Выход на свободу Сергея Семенова,11.06.2018,49320,SC
Выход на свободу Сергея Семенова,18.06.2018,37842,SC
Выход на свободу Сергея Семенова,25.06.2018,36042,SC
Смерть Михаила Дежравина,01.01.2018,6234,D
Смерть Михаила Дежравина,08.01.2018,881815,D
Смерть Михаила Дежравина,15.01.2018,172443,D
Смерть Михаила Дежравина,22.01.2018,21225,D
Смерть Михаила Дежравина,29.01.2018,13737,D
Смерть Михаила Дежравина,05.02.2018,19110,D
Смерть Михаила Дежравина,12.02.2018,5225,D
Смерть Михаила Дежравина,19.02.2018,4859,D
Смерть Михаила Дежравина,26.02.2018,4668,D
Смерть Михаила Дежравина,05.03.2018,37680,D
Смерть Михаила Дежравина,12.03.2018,10486,D
