event,week,queries,main_topic
artem_ishakov,01.01.2018,7,SC
artem_ishakov,08.01.2018,7,SC
artem_ishakov,15.01.2018,0,SC
artem_ishakov,22.01.2018,237301,SC
artem_ishakov,29.01.2018,67142,SC
artem_ishakov,05.02.2018,25627,SC
artem_ishakov,12.02.2018,13002,SC
artem_ishakov,19.02.2018,7895,SC
artem_ishakov,26.02.2018,6756,SC
artem_ishakov,05.03.2018,5051,SC
artem_ishakov,12.03.2018,6039,SC
artem_ishakov,19.03.2018,4147,SC
artem_ishakov,26.03.2018,3308,SC
artem_ishakov,02.04.2018,2672,SC
artem_ishakov,09.04.2018,2242,SC
artem_ishakov,16.04.2018,2537,SC
artem_ishakov,23.04.2018,2105,SC
artem_ishakov,30.04.2018,1957,SC
artem_ishakov,07.05.2018,1849,SC
artem_ishakov,14.05.2018,2297,SC
artem_ishakov,21.05.2018,1980,SC
artem_ishakov,28.05.2018,1560,SC
artem_ishakov,04.06.2018,1671,SC
artem_ishakov,11.06.2018,1420,SC
artem_ishakov,18.06.2018,1314,SC
artem_ishakov,25.06.2018,1259,SC
ludmila_senchina,01.01.2018,7055,D
ludmila_senchina,08.01.2018,15748,D
ludmila_senchina,15.01.2018,5291,D
ludmila_senchina,22.01.2018,1388335,D
ludmila_senchina,29.01.2018,152695,D
ludmila_senchina,05.02.2018,34332,D
ludmila_senchina,12.02.2018,16678,D
ludmila_senchina,19.02.2018,15628,D
ludmila_senchina,26.02.2018,11852,D
ludmila_senchina,05.03.2018,12134,D
ludmila_senchina,12.03.2018,9971,D
ludmila_senchina,19.03.2018,7903,D
ludmila_senchina,26.03.2018,8624,D
ludmila_senchina,02.04.2018,11876,D
ludmila_senchina,09.04.2018,9754,D
ludmila_senchina,16.04.2018,15017,D
ludmila_senchina,23.04.2018,6625,D
ludmila_senchina,30.04.2018,13250,D
ludmila_senchina,07.05.2018,7063,D
ludmila_senchina,14.05.2018,11347,D
ludmila_senchina,21.05.2018,5363,D
ludmila_senchina,28.05.2018,4851,D
ludmila_senchina,04.06.2018,6460,D
ludmila_senchina,11.06.2018,4905,D
ludmila_senchina,18.06.2018,4979,D
ludmila_senchina,25.06.2018,4905,D
shurigina_vishel,01.01.2018,77520,SC
shurigina_vishel,08.01.2018,466929,SC
shurigina_vishel,15.01.2018,1516143,SC
shurigina_vishel,22.01.2018,316989,SC
shurigina_vishel,29.01.2018,195846,SC
shurigina_vishel,05.02.2018,133229,SC
shurigina_vishel,12.02.2018,82626,SC
shurigina_vishel,19.02.2018,68399,SC
shurigina_vishel,26.02.2018,69693,SC
shurigina_vishel,05.03.2018,54772,SC
shurigina_vishel,12.03.2018,45486,SC
shurigina_vishel,19.03.2018,43518,SC
shurigina_vishel,26.03.2018,42022,SC
shurigina_vishel,02.04.2018,38023,SC
shurigina_vishel,09.04.2018,48666,SC
shurigina_vishel,16.04.2018,45918,SC
shurigina_vishel,23.04.2018,69717,SC
shurigina_vishel,30.04.2018,41503,SC
shurigina_vishel,07.05.2018,34003,SC
shurigina_vishel,14.05.2018,37755,SC
shurigina_vishel,21.05.2018,43008,SC
shurigina_vishel,28.05.2018,107670,SC
shurigina_vishel,04.06.2018,105548,SC
shurigina_vishel,11.06.2018,49320,SC
shurigina_vishel,18.06.2018,37842,SC
shurigina_vishel,25.06.2018,36042,SC
mikhail_derzhavin,01.01.2018,6234,D
mikhail_derzhavin,08.01.2018,881815,D
mikhail_derzhavin,15.01.2018,172443,D
mikhail_derzhavin,22.01.2018,21225,D
mikhail_derzhavin,29.01.2018,13737,D
mikhail_derzhavin,05.02.2018,19110,D
mikhail_derzhavin,12.02.2018,5225,D
mikhail_derzhavin,19.02.2018,4859,D
mikhail_derzhavin,26.02.2018,4668,D
mikhail_derzhavin,05.03.2018,37680,D
mikhail_derzhavin,12.03.2018,10486,D
mikhail_derzhavin,19.03.2018,3916,D
mikhail_derzhavin,26.03.2018,4063,D
mikhail_derzhavin,02.04.2018,3439,D
mikhail_derzhavin,09.04.2018,2324,D
mikhail_derzhavin,16.04.2018,2323,D
mikhail_derzhavin,23.04.2018,3312,D
mikhail_derzhavin,30.04.2018,2584,D
mikhail_derzhavin,07.05.2018,1759,D
mikhail_derzhavin,14.05.2018,2032,D
