event,week,queries,main_topic,peak_week,peak_year,week_t,baseline,peak,queries_norm
Англия - Хорватия ЧМ 2018,11.06.2018,396,S,09.07.2018,2018,-4,"19159,75",2376964,"0,0001665990734"
Англия - Хорватия ЧМ 2018,18.06.2018,1159,S,09.07.2018,2018,-3,"19159,75",2376964,"0,0004875967831"
Англия - Хорватия ЧМ 2018,25.06.2018,864,S,09.07.2018,2018,-2,"19159,75",2376964,"0,0003634888875"
Англия - Хорватия ЧМ 2018,02.07.2018,74220,S,09.07.2018,2018,-1,"19159,75",2376964,"0,03122470513"
Англия - Хорватия ЧМ 2018,09.07.2018,2376964,S,09.07.2018,2018,0,"19159,75",2376964,1
Англия - Хорватия ЧМ 2018,16.07.2018,44519,S,09.07.2018,2018,1,"19159,75",2376964,"0,01872935392"
Англия - Хорватия ЧМ 2018,23.07.2018,9826,S,09.07.2018,2018,2,"19159,75",2376964,"0,004133844686"
Англия - Хорватия ЧМ 2018,30.07.2018,6739,S,09.07.2018,2018,3,"19159,75",2376964,"0,002835129182"
Англия - Хорватия ЧМ 2018,06.08.2018,6130,S,09.07.2018,2018,4,"19159,75",2376964,"0,00257892"
Англия - Хорватия ЧМ 2018,13.08.2018,4767,S,09.07.2018,2018,5,"19159,75",2376964,"0,002005499452"
Англия - Хорватия ЧМ 2018,20.08.2018,2986,S,09.07.2018,2018,6,"19159,75",2376964,"0,001256224326"
Англия - Хорватия ЧМ 2018,27.08.2018,3445,S,09.07.2018,2018,7,"19159,75",2376964,"0,001449327798"
Англия - Хорватия ЧМ 2018,03.09.2018,2409,S,09.07.2018,2018,8,"19159,75",2376964,"0,001013477697"
Англия - Хорватия ЧМ 2018,10.09.2018,3034,S,09.07.2018,2018,9,"19159,75",2376964,"0,001276418154"
Англия - Хорватия ЧМ 2018,17.09.2018,1790,S,09.07.2018,2018,10,"19159,75",2376964,"0,0007530614683"
Англия - Хорватия ЧМ 2018,24.09.2018,1590,S,09.07.2018,2018,11,"19159,75",2376964,"0,0006689205221"
Англия - Хорватия ЧМ 2018,01.10.2018,1941,S,09.07.2018,2018,12,"19159,75",2376964,"0,0008165878827"
Арест Павла Дурова,29.07.2024,235672,SC,26.08.2024,2024,-4,"460918,5",2454190,"0,09602842486"
Арест Павла Дурова,05.08.2024,95692,SC,26.08.2024,2024,-3,"460918,5",2454190,"0,03899127614"
Арест Павла Дурова,12.08.2024,82815,SC,26.08.2024,2024,-2,"460918,5",2454190,"0,03374433112"
Арест Павла Дурова,19.08.2024,1429495,SC,26.08.2024,2024,-1,"460918,5",2454190,"0,5824712023"
Арест Павла Дурова,26.08.2024,2454190,SC,26.08.2024,2024,0,"460918,5",2454190,1
Арест Павла Дурова,02.09.2024,440230,SC,26.08.2024,2024,1,"460918,5",2454190,"0,1793789397"
Арест Павла Дурова,09.09.2024,243636,SC,26.08.2024,2024,2,"460918,5",2454190,"0,09927348738"
Арест Павла Дурова,16.09.2024,196971,SC,26.08.2024,2024,3,"460918,5",2454190,"0,08025906715"
Арест Павла Дурова,23.09.2024,199619,SC,26.08.2024,2024,4,"460918,5",2454190,"0,08133803821"
Арест Павла Дурова,30.09.2024,181299,SC,26.08.2024,2024,5,"460918,5",2454190,"0,0738732535"
Арест Павла Дурова,07.10.2024,182914,SC,26.08.2024,2024,6,"460918,5",2454190,"0,07453131176"
Арест Павла Дурова,14.10.2024,107801,SC,26.08.2024,2024,7,"460918,5",2454190,"0,04392528696"
Арест Павла Дурова,21.10.2024,128835,SC,26.08.2024,2024,8,"460918,5",2454190,"0,05249593552"
Арест Павла Дурова,28.10.2024,95335,SC,26.08.2024,2024,9,"460918,5",2454190,"0,03884581063"
Арест Павла Дурова,04.11.2024,104638,SC,26.08.2024,2024,10,"460918,5",2454190,"0,04263647069"
Арест Павла Дурова,11.11.2024,143987,SC,26.08.2024,2024,11,"460918,5",2454190,"0,05866986664"
Арест Павла Дурова,18.11.2024,99029,SC,26.08.2024,2024,12,"460918,5",2454190,"0,04035099157"
БПЛА удары по Энгельсу,09.12.2024,508777,W,06.01.2025,2025,-4,474882,977854,"0,5202995539"
