event,week,queries,main_topic,peak_week,peak_year,week_t,baseline,peak,queries_norm
BLM,5/4/2020,59,P,6/1/2020,2020,-4,"2251,5",61752,"0,0009554346418"
BLM,5/11/2020,61,P,6/1/2020,2020,-3,"2251,5",61752,"0,0009878222568"
BLM,5/18/2020,497,P,6/1/2020,2020,-2,"2251,5",61752,"0,008048322322"
BLM,5/25/2020,8389,P,6/1/2020,2020,-1,"2251,5",61752,"0,135849851"
BLM,6/1/2020,61752,P,6/1/2020,2020,0,"2251,5",61752,1
BLM,6/8/2020,33325,P,6/1/2020,2020,1,"2251,5",61752,"0,5396586345"
BLM,6/15/2020,31025,P,6/1/2020,2020,2,"2251,5",61752,"0,5024128773"
BLM,6/22/2020,21856,P,6/1/2020,2020,3,"2251,5",61752,"0,3539318565"
BLM,6/29/2020,23696,P,6/1/2020,2020,4,"2251,5",61752,"0,3837284622"
BLM,7/6/2020,19828,P,6/1/2020,2020,5,"2251,5",61752,"0,3210908149"
BLM,7/13/2020,17699,P,6/1/2020,2020,6,"2251,5",61752,"0,2866141987"
BLM,7/20/2020,12886,P,6/1/2020,2020,7,"2251,5",61752,"0,2086734033"
BLM,7/27/2020,9419,P,6/1/2020,2020,8,"2251,5",61752,"0,1525294727"
BLM,8/3/2020,8642,P,6/1/2020,2020,9,"2251,5",61752,"0,1399468843"
BLM,8/10/2020,6542,P,6/1/2020,2020,10,"2251,5",61752,"0,1059398886"
BLM,8/17/2020,5388,P,6/1/2020,2020,11,"2251,5",61752,"0,08725223475"
BLM,8/24/2020,5885,P,6/1/2020,2020,12,"2251,5",61752,"0,09530055707"
CES 2020,12/9/2019,3166,T,1/6/2020,2020,-4,"4145,5",29344,"0,1078925845"
CES 2020,12/16/2019,3447,T,1/6/2020,2020,-3,"4145,5",29344,"0,1174686478"
CES 2020,12/23/2019,3287,T,1/6/2020,2020,-2,"4145,5",29344,"0,1120160851"
CES 2020,12/30/2019,6682,T,1/6/2020,2020,-1,"4145,5",29344,"0,2277126499"
CES 2020,1/6/2020,29344,T,1/6/2020,2020,0,"4145,5",29344,1
CES 2020,1/13/2020,9150,T,1/6/2020,2020,1,"4145,5",29344,"0,3118184297"
CES 2020,1/20/2020,12245,T,1/6/2020,2020,2,"4145,5",29344,"0,4172914395"
CES 2020,1/27/2020,6054,T,1/6/2020,2020,3,"4145,5",29344,"0,2063113413"
CES 2020,2/3/2020,5676,T,1/6/2020,2020,4,"4145,5",29344,"0,1934296619"
CES 2020,2/10/2020,5252,T,1/6/2020,2020,5,"4145,5",29344,"0,1789803708"
CES 2020,2/17/2020,5944,T,1/6/2020,2020,6,"4145,5",29344,"0,2025627045"
CES 2020,2/24/2020,4292,T,1/6/2020,2020,7,"4145,5",29344,"0,1462649945"
CES 2020,3/2/2020,3820,T,1/6/2020,2020,8,"4145,5",29344,"0,1301799346"
CES 2020,3/9/2020,3711,T,1/6/2020,2020,9,"4145,5",29344,"0,1264653762"
CES 2020,3/16/2020,3897,T,1/6/2020,2020,10,"4145,5",29344,"0,1328039804"
CES 2020,3/23/2020,2712,T,1/6/2020,2020,11,"4145,5",29344,"0,09242093784"
CES 2020,3/30/2020,2598,T,1/6/2020,2020,12,"4145,5",29344,"0,08853598691"
E3 2018,5/14/2018,6078,T,6/11/2018,2018,-4,"20150,75",79245,"0,07669884535"
E3 2018,5/21/2018,6030,T,6/11/2018,2018,-3,"20150,75",79245,"0,0760931289"
E3 2018,5/28/2018,12185,T,6/11/2018,2018,-2,"20150,75",79245,"0,1537636444"
E3 2018,6/4/2018,56310,T,6/11/2018,2018,-1,"20150,75",79245,"0,7105811092"
E3 2018,6/11/2018,79245,T,6/11/2018,2018,0,"20150,75",79245,1
E3 2018,6/18/2018,7777,T,6/11/2018,2018,1,"20150,75",79245,"0,09813868383"
E3 2018,6/25/2018,3359,T,6/11/2018,2018,2,"20150,75",79245,"0,04238753234"
E3 2018,7/2/2018,2447,T,6/11/2018,2018,3,"20150,75",79245,"0,03087891981"
E3 2018,7/9/2018,1909,T,6/11/2018,2018,4,"20150,75",79245,"0,02408984794"
E3 2018,7/16/2018,1557,T,6/11/2018,2018,5,"20150,75",79245,"0,01964792731"
E3 2018,7/23/2018,1355,T,6/11/2018,2018,6,"20150,75",79245,"0,01709887059"
E3 2018,7/30/2018,1227,T,6/11/2018,2018,7,"20150,75",79245,"0,01548362673"
E3 2018,8/6/2018,1190,T,6/11/2018,2018,8,"20150,75",79245,"0,0150167203"
E3 2018,8/13/2018,1145,T,6/11/2018,2018,9,"20150,75",79245,"0,01444886113"
E3 2018,8/20/2018,1127,T,6/11/2018,2018,10,"20150,75",79245,"0,01422171746"
E3 2018,8/27/2018,881,T,6/11/2018,2018,11,"20150,75",79245,"0,01111742066"
E3 2018,9/3/2018,824,T,6/11/2018,2018,12,"20150,75",79245,"0,01039813237"
Gamescom 2019,7/22/2019,1014,T,8/19/2019,2019,-4,"3436,25",32982,"0,0307440422"
Gamescom 2019,7/29/2019,1461,T,8/19/2019,2019,-3,"3436,25",32982,"0,04429688921"
Gamescom 2019,8/5/2019,2686,T,8/19/2019,2019,-2,"3436,25",32982,"0,08143836032"
Gamescom 2019,8/12/2019,8584,T,8/19/2019,2019,-1,"3436,25",32982,"0,2602631739"
Gamescom 2019,8/19/2019,32982,T,8/19/2019,2019,0,"3436,25",32982,1
Gamescom 2019,8/26/2019,2756,T,8/19/2019,2019,1,"3436,25",32982,"0,0835607301"
Gamescom 2019,9/2/2019,628,T,8/19/2019,2019,2,"3436,25",32982,"0,01904068886"
Gamescom 2019,9/9/2019,369,T,8/19/2019,2019,3,"3436,25",32982,"0,01118792068"
Gamescom 2019,9/16/2019,270,T,8/19/2019,2019,4,"3436,25",32982,"0,008186283427"
Gamescom 2019,9/23/2019,262,T,8/19/2019,2019,5,"3436,25",32982,"0,007943726881"
Gamescom 2019,9/30/2019,346,T,8/19/2019,2019,6,"3436,25",32982,"0,01049057061"
Gamescom 2019,10/7/2019,277,T,8/19/2019,2019,7,"3436,25",32982,"0,008398520405"
Gamescom 2019,10/14/2019,129,T,8/19/2019,2019,8,"3436,25",32982,"0,003911224304"
Gamescom 2019,10/21/2019,112,T,8/19/2019,2019,9,"3436,25",32982,"0,003395791644"
Gamescom 2019,10/28/2019,134,T,8/19/2019,2019,10,"3436,25",32982,"0,004062822145"
Gamescom 2019,11/4/2019,108,T,8/19/2019,2019,11,"3436,25",32982,"0,003274513371"
Gamescom 2019,11/11/2019,119,T,8/19/2019,2019,12,"3436,25",32982,"0,003608028622"
IPhone 14,8/8/2022,34130,T,9/5/2022,2022,-4,"50293,75",496399,"0,06875517477"
IPhone 14,8/15/2022,44770,T,9/5/2022,2022,-3,"50293,75",496399,"0,0901895451"
IPhone 14,8/22/2022,48067,T,9/5/2022,2022,-2,"50293,75",496399,"0,0968313796"
IPhone 14,8/29/2022,74208,T,9/5/2022,2022,-1,"50293,75",496399,"0,149492646"
IPhone 14,9/5/2022,496399,T,9/5/2022,2022,0,"50293,75",496399,1
IPhone 14,9/12/2022,355040,T,9/5/2022,2022,1,"50293,75",496399,"0,7152310943"
IPhone 14,9/19/2022,254138,T,9/5/2022,2022,2,"50293,75",496399,"0,5119631587"
IPhone 14,9/26/2022,195838,T,9/5/2022,2022,3,"50293,75",496399,"0,3945173137"
IPhone 14,10/3/2022,205603,T,9/5/2022,2022,4,"50293,75",496399,"0,4141889891"
IPhone 14,10/10/2022,190279,T,9/5/2022,2022,5,"50293,75",496399,"0,383318661"
IPhone 14,10/17/2022,196887,T,9/5/2022,2022,6,"50293,75",496399,"0,3966305331"
IPhone 14,10/24/2022,217423,T,9/5/2022,2022,7,"50293,75",496399,"0,4380004795"
IPhone 14,10/31/2022,228543,T,9/5/2022,2022,8,"50293,75",496399,"0,4604018139"
IPhone 14,11/7/2022,206574,T,9/5/2022,2022,9,"50293,75",496399,"0,4161450768"
IPhone 14,11/14/2022,225857,T,9/5/2022,2022,10,"50293,75",496399,"0,4549908441"
IPhone 14,11/21/2022,232353,T,9/5/2022,2022,11,"50293,75",496399,"0,4680770912"
IPhone 14,11/28/2022,234081,T,9/5/2022,2022,12,"50293,75",496399,"0,4715581619"
